Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,185.600006,185.860001,183.300003,183.940002,169.152145,2746000
2015-09-15,184.779999,188.020004,184.190002,187.449997,172.379959,3092800
2015-09-16,187.960007,189.300003,186.589996,188.639999,173.474319,2717800
2015-09-17,188.449997,190.570007,186.000000,186.449997,171.460388,3712600
2015-09-18,183.199997,183.380005,180.550003,180.940002,166.393356,6529900
2015-09-21,183.300003,184.410004,181.699997,183.350006,168.609573,2947200
2015-09-22,180.889999,181.000000,178.009995,179.720001,165.271423,4166900
2015-09-23,179.809998,180.190002,177.750000,179.410004,164.986374,2732600
2015-09-24,177.660004,177.979996,174.820007,176.910004,162.687378,3910000
2015-09-25,179.199997,181.110001,178.160004,179.830002,165.372604,3026500
2015-09-28,178.460007,178.460007,172.750000,173.020004,159.110062,3898500
2015-09-29,173.009995,173.300003,167.490005,171.860001,158.043350,4419100
2015-09-30,174.580002,175.080002,172.160004,173.759995,159.790558,2931500
2015-10-01,174.399994,176.169998,173.039993,176.020004,161.868912,3613000
2015-10-02,172.139999,177.100006,169.869995,177.009995,162.779297,4469900
2015-10-05,178.229996,181.059998,177.830002,180.699997,166.172623,3411900
2015-10-06,180.199997,181.279999,179.470001,180.320007,165.823181,1859100
2015-10-07,181.800003,183.789993,180.539993,182.229996,167.579636,2572200
2015-10-08,181.179993,182.470001,179.750000,181.070007,166.512909,3253400
2015-10-09,180.960007,182.289993,178.210007,179.190002,164.784027,3334900
2015-10-12,180.800003,181.199997,179.009995,180.229996,165.740433,3059800
2015-10-13,179.570007,183.139999,179.500000,180.970001,166.420914,2918800
2015-10-14,180.729996,182.220001,179.139999,179.509995,165.078323,3252000
2015-10-15,176.729996,185.750000,175.759995,184.960007,170.090164,5720100
2015-10-16,185.119995,186.649994,183.630005,185.179993,170.292480,2977500
2015-10-19,183.479996,186.500000,183.149994,185.740005,170.807480,2665700
2015-10-20,185.199997,185.970001,183.899994,185.509995,170.595947,2736200
2015-10-21,186.220001,186.220001,179.550003,179.699997,165.253067,3613800
2015-10-22,180.229996,184.190002,180.199997,183.559998,168.802689,2609600
2015-10-23,185.160004,186.360001,184.429993,185.500000,170.586761,2935700
2015-10-26,187.100006,188.000000,186.619995,187.009995,171.975357,2573700
2015-10-27,186.000000,186.830002,184.500000,186.309998,171.331635,1932300
2015-10-28,186.710007,191.479996,186.169998,191.320007,175.938858,3231900
2015-10-29,191.000000,191.960007,189.330002,189.889999,174.623825,3068100
2015-10-30,189.759995,190.089996,187.240005,187.500000,172.425980,2791600
2015-11-02,188.320007,190.429993,187.679993,189.679993,174.430695,2531500
2015-11-03,189.250000,191.869995,189.050003,190.690002,175.359497,2443200
2015-11-04,191.000000,192.889999,190.309998,191.649994,176.242294,2174300
2015-11-05,192.539993,193.279999,191.000000,192.020004,176.582596,2186300
2015-11-06,196.000000,199.470001,195.899994,199.169998,183.157761,4270800
2015-11-09,199.039993,199.899994,196.320007,196.759995,180.941498,2604400
2015-11-10,196.580002,198.220001,195.279999,197.809998,181.907074,2149900
2015-11-11,198.289993,198.929993,196.729996,197.389999,181.520889,1637500
2015-11-12,196.190002,196.190002,192.259995,192.770004,177.272308,3166900
2015-11-13,192.630005,193.380005,190.059998,190.389999,175.083618,2484000
2015-11-16,189.990005,192.160004,188.009995,192.160004,176.711334,4626600
2015-11-17,192.669998,193.000000,190.320007,190.570007,175.249176,1783800
2015-11-18,191.050003,194.050003,191.009995,193.660004,178.090714,2509200
2015-11-19,193.820007,194.210007,191.669998,193.029999,177.511368,1835800
2015-11-20,193.000000,193.490005,191.110001,191.470001,176.076767,2932100
2015-11-23,191.300003,191.490005,188.520004,189.190002,173.980118,2671700
2015-11-24,188.020004,189.800003,186.559998,188.669998,173.501877,2679400
2015-11-25,188.990005,189.770004,188.149994,189.149994,173.943298,1495600
2015-11-27,189.160004,191.190002,188.850006,190.470001,175.157166,1092700
2015-11-30,190.500000,191.080002,189.240005,190.020004,175.341736,3415000
2015-12-01,191.220001,193.149994,190.009995,193.070007,178.156158,4140900
2015-12-02,193.300003,193.839996,189.800003,190.259995,175.563171,1817200
2015-12-03,190.660004,191.649994,184.729996,185.199997,170.894043,3599000
2015-12-04,185.610001,190.619995,184.750000,189.990005,175.314056,3517200
2015-12-07,190.000000,190.119995,185.000000,185.490005,171.161667,3499900
2015-12-08,183.919998,184.470001,181.839996,182.919998,168.790207,2663800
2015-12-09,182.020004,184.850006,179.830002,180.710007,166.750885,3907500
2015-12-10,180.990005,183.929993,180.309998,182.110001,168.042755,2212300
2015-12-11,179.679993,180.149994,175.470001,176.559998,162.921478,3750100
2015-12-14,176.669998,178.630005,172.899994,176.399994,162.773819,5102400
2015-12-15,178.979996,183.279999,178.850006,182.009995,167.950500,3398700
2015-12-16,184.009995,186.880005,181.679993,186.210007,171.826080,3191700
2015-12-17,186.880005,187.889999,182.610001,182.610001,168.504105,2807900
2015-12-18,181.199997,181.899994,175.389999,175.490005,161.934128,6740800
2015-12-21,177.500000,178.149994,175.830002,177.750000,164.019547,2472900
2015-12-22,178.899994,180.690002,177.050003,180.050003,166.141861,2312800
2015-12-23,180.699997,183.000000,180.460007,182.949997,168.817886,2367900
2015-12-24,182.270004,183.169998,182.020004,182.470001,168.374954,1107600
2015-12-28,181.770004,181.929993,179.839996,181.619995,167.590607,1723300
